Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	S&P 500 Index - #Ticks	SMAVG (15)
2017-01-28 04:40:00	2292.36	2292.60	2291.98	2292.05	2293.48	2294.52	2295.86	300	300
2017-01-28 04:35:00	2292.18	2292.49	2292.12	2292.36	2293.51	2294.56	2295.88	300	300
2017-01-28 04:30:00	2291.62	2292.55	2291.62	2292.17	2293.54	2294.60	2295.89	300	300
2017-01-28 04:25:00	2292.89	2292.89	2291.64	2291.64	2293.57	2294.65	2295.90	300	300
2017-01-28 04:20:00	2293.12	2293.36	2292.89	2292.89	2293.61	2294.70	2295.91	300	300
2017-01-28 04:15:00	2292.93	2293.42	2292.93	2293.11	2293.63	2294.73	2295.92	300	300
2017-01-28 04:10:00	2293.07	2293.13	2292.84	2292.94	2293.62	2294.77	2295.92	300	300
2017-01-28 04:05:00	2293.24	2293.46	2293.07	2293.07	2293.61	2294.80	2295.93	300	300
2017-01-28 04:00:00	2293.48	2293.51	2293.11	2293.22	2293.59	2294.82	2295.93	300	300
2017-01-28 03:55:00	2293.15	2293.49	2293.02	2293.46	2293.60	2294.84	2295.93	300	300
2017-01-28 03:50:00	2293.22	2293.31	2292.94	2293.16	2293.60	2294.86	2295.93	300	300
2017-01-28 03:45:00	2293.21	2293.56	2293.10	2293.23	2293.63	2294.88	2295.93	300	300
2017-01-28 03:40:00	2293.24	2293.56	2293.12	2293.20	2293.65	2294.90	2295.93	300	300
2017-01-28 03:35:00	2294.04	2294.12	2293.25	2293.25	2293.65	2294.94	2295.93	300	300
2017-01-28 03:30:00	2293.16	2294.05	2293.09	2294.04	2293.66	2294.98	2295.94	300	300
2017-01-28 03:25:00	2293.14	2293.38	2293.09	2293.16	2293.66	2295.00	2295.95	300	300
2017-01-28 03:20:00	2292.93	2293.21	2292.70	2293.13	2293.67	2295.04	2295.96	300	300
2017-01-28 03:15:00	2292.82	2293.03	2292.68	2292.91	2293.68	2295.08	2295.97	300	300
2017-01-28 03:10:00	2293.30	2293.54	2292.67	2292.82	2293.69	2295.11	2295.99	300	300
2017-01-28 03:05:00	2293.38	2293.38	2292.94	2293.30	2293.72	2295.14	2296.01	300	300
2017-01-28 03:00:00	2293.08	2293.38	2292.75	2293.38	2293.74	2295.18	2296.01	300	300
2017-01-28 02:55:00	2293.28	2293.55	2293.04	2293.07	2293.78	2295.21	2296.02	300	300
2017-01-28 02:50:00	2293.69	2293.69	2293.17	2293.26	2293.80	2295.25	2296.03	300	300
2017-01-28 02:45:00	2294.05	2294.12	2293.46	2293.69	2293.84	2295.29	2296.04	300	300
2017-01-28 02:40:00	2293.73	2294.10	2293.55	2294.05	2293.88	2295.33	2296.03	300	300
2017-01-28 02:35:00	2294.13	2294.14	2293.51	2293.71	2293.93	2295.37	2296.02	300	300
2017-01-28 02:30:00	2293.82	2294.14	2293.76	2294.12	2293.99	2295.40	2296.02	300	300
2017-01-28 02:25:00	2293.45	2293.81	2293.24	2293.81	2294.04	2295.43	2296.01	300	300
2017-01-28 02:20:00	2293.30	2293.58	2293.29	2293.44	2294.10	2295.47	2296.01	300	300
2017-01-28 02:15:00	2293.17	2293.37	2292.85	2293.30	2294.16	2295.51	2296.01	300	300
2017-01-28 02:10:00	2293.27	2293.37	2292.86	2293.16	2294.23	2295.56	2296.01	300	300
2017-01-28 02:05:00	2293.27	2293.37	2293.04	2293.28	2294.30	2295.61	2296.01	300	300
2017-01-28 02:00:00	2293.84	2293.96	2293.27	2293.28	2294.35	2295.66	2296.01	300	300
2017-01-28 01:55:00	2293.87	2294.22	2293.83	2293.83	2294.42	2295.70	2296.00	300	300
2017-01-28 01:50:00	2293.19	2293.88	2293.18	2293.87	2294.50	2295.73	2295.99	300	300
2017-01-28 01:45:00	2292.94	2293.53	2292.91	2293.19	2294.56	2295.76	2295.97	300	300
2017-01-28 01:40:00	2293.95	2294.08	2293.03	2293.04	2294.63	2295.82	2295.96	300	300
2017-01-28 01:35:00	2294.26	2294.33	2293.91	2293.93	2294.70	2295.87	2295.94	300	300
2017-01-28 01:30:00	2294.32	2294.60	2294.18	2294.26	2294.75	2295.91	2295.87	300	300
2017-01-28 01:25:00	2294.80	2294.83	2294.13	2294.34	2294.79	2295.95	2295.80	300	300
2017-01-28 01:20:00	2294.57	2294.90	2294.25	2294.79	2294.85	2295.97	2295.73	300	300
2017-01-28 01:15:00	2294.84	2295.11	2294.59	2294.60	2294.90	2296.01	2295.66	300	300
2017-01-28 01:10:00	2294.50	2295.05	2294.44	2294.85	2294.98	2296.04	2295.59	300	300
2017-01-28 01:05:00	2295.30	2295.30	2294.48	2294.48	2295.05	2296.10	2295.52	300	300
2017-01-28 01:00:00	2294.41	2295.41	2294.18	2295.28	2295.12	2296.14	2295.45	300	300
2017-01-28 00:55:00	2293.28	2294.50	2292.85	2294.41	2295.18	2296.17	2295.39	300	300
2017-01-28 00:50:00	2293.61	2294.04	2293.27	2293.27	2295.25	2296.21	2295.32	300	300
2017-01-28 00:45:00	2293.74	2294.08	2293.11	2293.61	2295.36	2296.28	2295.27	300	300
2017-01-28 00:40:00	2293.68	2294.00	2293.63	2293.71	2295.43	2296.35	2295.21	300	300
2017-01-28 00:35:00	2293.83	2293.95	2293.37	2293.69	2295.50	2296.41	2295.16	300	300
2017-01-28 00:30:00	2293.88	2294.09	2293.27	2293.84	2295.56	2296.47	2295.11	300	300
2017-01-28 00:25:00	2293.59	2294.67	2293.59	2293.90	2295.61	2296.53	2295.06	300	300
2017-01-28 00:20:00	2293.73	2293.79	2293.24	2293.60	2295.66	2296.58	2295.01	300	300
2017-01-28 00:15:00	2293.61	2293.86	2293.16	2293.73	2295.73	2296.62	2294.95	300	300
2017-01-28 00:10:00	2292.67	2293.60	2292.67	2293.57	2295.78	2296.66	2294.89	300	300
2017-01-28 00:05:00	2292.62	2292.88	2292.19	2292.66	2295.84	2296.71	2294.83	300	300
2017-01-28 00:00:00	2292.20	2293.06	2292.17	2292.62	2295.92	2296.79	2294.78	300	300
2017-01-27 23:55:00	2293.41	2293.41	2291.84	2292.16	2295.99	2296.84	2294.72	300	300
2017-01-27 23:50:00	2293.52	2294.04	2293.25	2293.42	2296.05	2296.91	2294.67	300	300
2017-01-27 23:45:00	2294.75	2294.76	2293.32	2293.52	2296.09	2296.96	2294.60	300	300
2017-01-27 23:40:00	2293.94	2294.88	2293.65	2294.78	2296.12	2297.01	2294.54	300	300
2017-01-27 23:35:00	2293.58	2294.65	2293.58	2294.02	2296.12	2297.05	2294.48	300	300
2017-01-27 23:30:00	2293.40	2294.38	2293.39	2293.58	2296.16	2297.10	2294.41	300	300
2017-01-27 23:25:00	2294.01	2294.28	2293.28	2293.36	2296.23	2297.15	2294.35	300	300
2017-01-27 23:20:00	2293.79	2294.45	2293.49	2294.01	2296.30	2297.20	2294.29	300	300
2017-01-27 23:15:00	2293.98	2294.02	2292.84	2293.77	2296.35	2297.23	2294.22	300	300
2017-01-27 23:10:00	2293.10	2294.91	2292.89	2293.95	2296.41	2297.26	2294.16	300	300
2017-01-27 23:05:00	2294.65	2294.91	2293.10	2293.10	2296.47	2297.29	2294.10	300	300
2017-01-27 23:00:00	2294.19	2295.07	2293.85	2294.64	2296.53	2297.30	2294.04	300	300
2017-01-27 22:55:00	2295.00	2295.04	2293.03	2294.24	2296.56	2297.33	2293.97	300	300
2017-01-27 22:50:00	2294.03	2295.41	2293.96	2295.03	2296.61	2297.35	2293.90	300	300
